allele	threshold	threshold_min	threshold_max	mean_f1
IGHD1-2J4B*01	0.002	0.002	0.002	0.830685458241817
IGHD1-2J4B*02	0.002	0.002	0.002	0.830417342356143
IGHD1-C7RJ*01	0.02	0.02	0.9	0.838567895621491
IGHD1-GRMY*01	0.001	0.001	0.001	0.829514333258038
IGHD1-GRMY*02	0.001	0.001	0.002	0.829514333258038
IGHD1-QQWR*01	0.001	0.001	0.001	0.829514333258038
IGHD1-RIPD*01	0.001	0.001	0.001	0.829514333258038
IGHD1-RIPD*02	0.007	0.007	0.9	0.838567895621491
IGHD1-RIPD*03	0.001	0.001	0.003	0.829514333258038
IGHD1-RIPD*04	0.001	0.001	0.001	0.829514333258038
IGHD1-RIPD*05	0.002	0.002	0.002	0.829689283128172
IGHD10-ELDI*01	0.001	0.001	0.007	0.829514333258038
IGHD10-ELDI*02	0.005	0.005	0.01	0.830389156036112
IGHD10-JYXZ*01	0.001	0.001	0.008	0.829514333258038
IGHD11-PSVV*01	0.001	0.001	0.03	0.829514333258038
IGHD12-7HR7*01	0.002	0.002	0.002	0.832478540332153
IGHD12-7HR7*02	0.001	0.001	0.02	0.829514333258038
IGHD13-SXKU*01	0.001	0.001	0.002	0.829514333258038
IGHD14-HJME*01	0.007	0.007	0.9	0.838205720796842
IGHD2-B3VX*01	0.001	0.001	0.003	0.829514333258038
IGHD2-QKRU*01	0.001	0.001	0.003	0.829514333258038
IGHD2-QKRU*02	0.003	0.003	0.008	0.835870732345349
IGHD2-QKRU*03	0.002	0.002	0.002	0.829605060580323
IGHD2-QKRU*04	0.001	0.001	0.001	0.829514333258038
IGHD2-QKRU*05	0.002	0.002	0.9	0.829533149570444
IGHD3-72Z4*01	0.002	0.002	0.006	0.83042845889003
IGHD3-72Z4*02	0.005	0.005	0.03	0.831750176258327
IGHD3-NW5N*01	0.001	0.001	0.01	0.829514333258038
IGHD3-NW5N*02	0.004	0.004	0.9	0.833210586564441
IGHD3-NW5N*04	0.006	0.006	0.9	0.833677927424127
IGHD3-VBVC*01	0.001	0.001	0.04	0.829514333258038
IGHD4-74CP*01	0.001	0.001	0.004	0.829514333258038
IGHD4-74CP*02	0.001	0.001	0.02	0.829514333258038
IGHD4-AWN2*01	0.006	0.006	0.02	0.831750176258327
IGHD4-AWN2*02	0.006	0.006	0.008	0.830805742002484
IGHD4-KMEY*01	0.001	0.001	0.001	0.829514333258038
IGHD4-ZLQB*01	0.005	0.005	0.9	0.838567895621491
IGHD5-75EJ*01	0.001	0.001	0.001	0.829514333258038
IGHD5-75EJ*03	0.001	0.001	0.009	0.829514333258038
IGHD5-X76R*01	0.001	0.001	0.003	0.829514333258038
IGHD5-X76R*02	0.001	0.001	0.003	0.829514333258038
IGHD5-X76R*03	0.001	0.001	0.002	0.829514333258038
IGHD5-X76R*04	0.005	0.005	0.009	0.836500235101924
IGHD5-X76R*05	0.005	0.005	0.005	0.832374873087957
IGHD6-64ZP*01	0.001	0.001	0.03	0.829514333258038
IGHD6-64ZP*03	0.001	0.001	0.005	0.829514333258038
IGHD6-64ZP*04	0.005	0.005	0.005	0.835315938161776
IGHD6-DWON*01	0.007	0.007	0.007	0.831269105355469
IGHD6-DWON*02	0.001	0.001	0.005	0.829514333258038
IGHD6-LDSS*01	0.004	0.004	0.9	0.836897039162938
IGHD6-LDSS*02	0.001	0.001	0.004	0.829514333258038
IGHD6-T3KD*01	0.001	0.001	0.05	0.829514333258038
IGHD6-UTCO*01	0.002	0.002	0.9	0.830210338750658
IGHD7-BAAI*01	0.001	0.001	0.001	0.829514333258038
IGHD7-BAAI*02	0.009	0.009	0.009	0.833479463184098
IGHD7-BAAI*03	0.001	0.001	0.001	0.829514333258038
IGHD8-5Q35*11	0.004	0.004	0.01	0.835602059718618
IGHD8-5Q35*12	0.006	0.006	0.007	0.829686331882049
IGHD8-ANVS*01	0.001	0.001	0.008	0.829514333258038
IGHD9-GADR*01	0.001	0.001	0.002	0.829514333258038
IGHD10-B4TS*01	0.003	0.003	0.9	0.830852502508461
IGHD10-B4TS*04	0.008	0.008	0.009	0.83028967005607
IGHD3-NW5N*03	0.02	0.02	0.9	0.834543530834327
