gene	allele	threshold
IGLV1-6UWF	IGLV1-6UWF*01	0.001
IGLV1-ANT2	IGLV1-ANT2*02	0.001
IGLV1-ANT2	IGLV1-ANT2*03	0.003
IGLV1-HYAR	IGLV1-HYAR*01	0.001
IGLV1-OISC	IGLV1-OISC*01	0.003
IGLV1-OMXR	IGLV1-OMXR*01	0.001
IGLV1-UABS	IGLV1-UABS*01	0.001
IGLV1-UABS	IGLV1-UABS*02	0.001
IGLV1-WZN2	IGLV1-WZN2*01	0.001
IGLV1-YE7M	IGLV1-YE7M*03	0.001
IGLV10-2LPI	IGLV10-2LPI*01	0.001
IGLV13-3L7Q	IGLV13-3L7Q*01	0.001
IGLV13-7QAJ	IGLV13-7QAJ*02/IGLV13-7QAJ*09	0.001
IGLV13-7QAJ	IGLV13-7QAJ*03	0.001
IGLV13-7QAJ	IGLV13-7QAJ*06	0.001
IGLV13-LWMG	IGLV13-LWMG*01	0.001
IGLV13-PG6A	IGLV13-PG6A*01	0.001
IGLV13-PG6A	IGLV13-PG6A*06/IGLV13-PG6A*07/IGLV13-PG6A*09	0.001
IGLV13-PG6A	IGLV13-PG6A*08	0.001
IGLV13-RLBV	IGLV13-RLBV*02/IGLV13-RLBV*06/IGLV13-RLBV*07	0.001
IGLV13-RM6H	IGLV13-RM6H*01	0.001
IGLV13-RM6H	IGLV13-RM6H*04	0.001
IGLV13-TZW3	IGLV13-TZW3*01	0.002
IGLV13-TZW3	IGLV13-TZW3*04	0.001
IGLV13-TZW3	IGLV13-TZW3*05	0.001
IGLV13-V3WL	IGLV13-V3WL*01	0.001
IGLV14-JHDX	IGLV14-JHDX*03	0.001
IGLV14-QYQW	IGLV14-QYQW*08	0.003
IGLV18-34KT	IGLV18-34KT*01	0.001
IGLV18-7DQE	IGLV18-7DQE*01/IGLV18-7DQE*05	0.001
IGLV18-HTIG	IGLV18-HTIG*07/IGLV18-HTIG*08	0.001
IGLV18-LFXG	IGLV18-LFXG*04	0.001
IGLV18-LFXG	IGLV18-LFXG*05	0.001
IGLV18-LFXG	IGLV18-LFXG*15/IGLV18-LFXG*20/IGLV18-LFXG*21	0.001
IGLV19-BPJ2	IGLV19-BPJ2*01/IGLV19-BPJ2*07/IGLV19-BPJ2*08	0.001
IGLV19-PCOE	IGLV19-PCOE*03	0.001
IGLV19-UE3U	IGLV19-UE3U*01	0.001
IGLV2-3NOK	IGLV2-3NOK*03	0.001
IGLV2-3NOK	IGLV2-3NOK*04	0.002
IGLV2-4DY7	IGLV2-4DY7*03	0.001
IGLV2-LMLE	IGLV2-LMLE*02	0.001
IGLV2-M5CD	IGLV2-M5CD*01	0.001
IGLV2-M5CD	IGLV2-M5CD*03	0.001
IGLV2-UE2U	IGLV2-UE2U*02	0.007
IGLV2-UE2U	IGLV2-UE2U*03	0.004
IGLV2-UE2U	IGLV2-UE2U*07/IGLV2-UE2U*24	0.001
IGLV2-UE2U	IGLV2-UE2U*26	0.001
IGLV2-UE2U	IGLV2-UE2U*28	0.001
IGLV20-LHAH	IGLV20-LHAH*01	0.001
IGLV24-7UWK	IGLV24-7UWK*06	0.001
IGLV24-7UWK	IGLV24-7UWK*12	0.001
IGLV24-BVHO	IGLV24-BVHO*07	0.001
IGLV24-BVHO	IGLV24-BVHO*11	0.002
IGLV24-BVHO	IGLV24-BVHO*12	0.001
IGLV24-OL3F	IGLV24-OL3F*05	0.001
IGLV25-63QE	IGLV25-63QE*04/IGLV25-63QE*07	0.001
IGLV25-JH2N	IGLV25-JH2N*03	0.004
IGLV25-ZJ6T	IGLV25-ZJ6T*07	0.001
IGLV26-KKTJ	IGLV26-KKTJ*03	0.001
IGLV26-Q4PR	IGLV26-Q4PR*01	0.002
IGLV30-DGNA	IGLV30-DGNA*01	0.001
