allele	threshold	threshold_min	threshold_max	mean_f1
IGHD1-2J4B*01	0.002	0.002	0.002	0.831412490017667
IGHD1-2J4B*02	0.002	0.002	0.002	0.830962564667409
IGHD1-BAAI*01	0.001	0.001	0.001	0.830059555569305
IGHD1-BAAI*02	0.009	0.009	0.009	0.834028833111247
IGHD1-BAAI*03	0.001	0.001	0.001	0.830059555569305
IGHD1-GRMY*01	0.001	0.001	0.001	0.830059555569305
IGHD1-GRMY*02	0.001	0.001	0.002	0.830059555569305
IGHD1-GRMY*03	0.001	0.001	0.003	0.830059555569305
IGHD1-GRMY*04	0.001	0.001	0.001	0.830059555569305
IGHD1-GRMY*05	0.002	0.002	0.002	0.830234505439438
IGHD1-QQWR*01	0.001	0.001	0.001	0.830059555569305
IGHD1-RIPD*01	0.001	0.001	0.001	0.830059555569305
IGHD1-RIPD*02	0.007	0.007	0.9	0.839124601633732
IGHD11-B3VX*01	0.001	0.001	0.004	0.830059555569305
IGHD14-5Q35*09	0.004	0.004	0.01	0.836337568991235
IGHD14-5Q35*10	0.006	0.006	0.007	0.830231554193315
IGHD14-ANVS*01	0.001	0.001	0.008	0.830059555569305
IGHD18-75EJ*01	0.001	0.001	0.001	0.830059555569305
IGHD18-75EJ*03	0.001	0.001	0.009	0.830059555569305
IGHD19-GADR*01	0.001	0.001	0.002	0.830059555569305
IGHD20-72Z4*01	0.002	0.002	0.006	0.830973681201296
IGHD20-72Z4*02	0.005	0.005	0.03	0.832303319578762
IGHD20-VBVC*01	0.001	0.001	0.04	0.830059555569305
IGHD21-ELDI*01	0.001	0.001	0.007	0.830059555569305
IGHD21-ELDI*02	0.005	0.005	0.01	0.830933154378123
IGHD21-JYXZ*01	0.001	0.001	0.008	0.830059555569305
IGHD21-QKRU*01	0.001	0.001	0.003	0.830059555569305
IGHD21-QKRU*02	0.003	0.003	0.008	0.836421018199884
IGHD21-QKRU*03	0.001	0.001	0.001	0.830059555569305
IGHD21-QKRU*04	0.001	0.001	0.001	0.830059555569305
IGHD21-QKRU*05	0.002	0.002	0.9	0.830078981131432
IGHD22-AWN2*01	0.006	0.006	0.02	0.832303319578762
IGHD22-AWN2*02	0.006	0.006	0.008	0.831342375687637
IGHD22-AWN2*04	0.001	0.001	0.004	0.830059555569305
IGHD22-AWN2*05	0.001	0.001	0.001	0.830059555569305
IGHD22-ZLQB*01	0.005	0.005	0.9	0.839124601633732
IGHD22-ZLQB*02	0.001	0.001	0.02	0.830059555569305
IGHD23-PSVV*01	0.001	0.001	0.03	0.830059555569305
IGHD24-HJME*01	0.008	0.008	0.9	0.838762426809083
IGHD3-X76R*01	0.001	0.001	0.003	0.830059555569305
IGHD3-X76R*02	0.001	0.001	0.003	0.830059555569305
IGHD3-X76R*03	0.001	0.001	0.002	0.830059555569305
IGHD3-X76R*04	0.005	0.005	0.009	0.837055374052155
IGHD3-X76R*05	0.005	0.005	0.005	0.83292689609681
IGHD4-NW5N*01	0.001	0.001	0.01	0.830059555569305
IGHD4-NW5N*02	0.004	0.004	0.9	0.833571274690424
IGHD4-NW5N*04	0.006	0.006	0.9	0.834051412307661
IGHD7-7HR7*01	0.002	0.002	0.002	0.832842025949896
IGHD7-7HR7*02	0.001	0.001	0.02	0.830059555569305
IGHD7-C7RJ*01	0.02	0.02	0.9	0.839124601633732
IGHD8-SXKU*01	0.001	0.001	0.002	0.830059555569305
IGHD9-64ZP*01	0.001	0.001	0.03	0.830059555569305
IGHD9-64ZP*02	0.002	0.002	0.9	0.830754852762854
IGHD9-64ZP*03	0.001	0.001	0.005	0.830059555569305
IGHD9-64ZP*04	0.005	0.005	0.005	0.835873462052198
IGHD9-DWON*01	0.007	0.007	0.007	0.831818997012803
IGHD9-DWON*02	0.001	0.001	0.005	0.830059555569305
IGHD9-LDSS*01	0.004	0.004	0.9	0.837627998511474
IGHD9-LDSS*02	0.001	0.001	0.004	0.830059555569305
IGHD9-T3KD*01	0.001	0.001	0.05	0.830059555569305
IGHD18-75EJ*02	0.001	0.001	0.001	0.830059555569305
IGHD21-B4TS*01	0.003	0.003	0.9	0.831227685758524
IGHD21-B4TS*04	0.008	0.008	0.009	0.830833610651352
IGHD4-NW5N*03	0.02	0.02	0.9	0.835093141390984
IGHD4-NW5N*05	0.001	0.001	0.007	0.830059555569305
IGHV1-BSGF*05	0.0002	0.0002	0.003	0.871851556987443
IGHV1-FO6G*01	0.0001	0.0001	0.0003	0.871776674398459
IGHV1-ISRF*08	0.0001	0.0001	0.009	0.871776674398459
IGHV1-ISRF*10	0.002	0.002	0.02	0.87394812805518
IGHV1-ISRF*15	0.0001	0.0001	0.008	0.871776674398459
IGHV1-JHF7*01	0.0008	0.0008	0.01	0.872136139347453
IGHV1-JIGE*01	0.0001	0.0001	0.0001	0.871776674398459
IGHV1-TNJW*02	0.0002	0.0002	0.001	0.871844580348718
IGHV1-TNJW*03	0.0001	0.0001	0.0006	0.871776674398459
IGHV1-VCNV*03	0.0001	0.0001	0.0001	0.871776674398459
IGHV1-Y7SR*03	0.0001	0.0001	0.003	0.871776674398459
IGHV1-Y7SR*04	0.0003	0.0003	0.02	0.872273633810894
IGHV13-PSOC*02	0.0001	0.0001	0.0001	0.871776674398459
IGHV2-4QUM*06/IGHV2-4QUM*09	0.0001	0.0001	0.0006	0.871776674398459
